rank,domain,title,has_iso_27001,has_soc_2,has_csa_star,total_claimed_attestations,attestation_audit_status,pages_inspected,attestation_evidence,score_tls_transport,score_dns_email,score_http_headers,score_pki_cert,d_vpf_technical_score,dmarc_policy,hsts_present,csp_present,tls_validation_status,cert_lifespan_days,cert_max_allowed_days,key_type,key_bits,http_probe_status,dns_probe_status
228,pages.dev,Cloudflare Pages - Serverless Full-Stack Platform,0,0,0,0,observed,https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://www.cloudflare.com/products/pages/;https://trust.pages.dev/;https://security.pages.dev/;https://compliance.pages.dev/;https://www.cloudflare.com/products/pages/,,20,0,25,25,70,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
232,ubuntu.com,Enterprise Open Source and Linux | Ubuntu,0,0,0,0,observed,https://ubuntu.com/;https://ubuntu.com/security/security-standards;https://ubuntu.com/security/esm;https://ubuntu.com/security/security-standards;https://ubuntu.com/security/security-standards,,18,10,20,25,73,None,True,True,verified,89,200,RSA,2048,observed,observed
239,stripe.com,Stripe | Financial Infrastructure to Grow Your Revenue,0,1,0,1,observed,https://stripe.com/;https://docs.stripe.com/security;https://trust.stripe.com/,https://docs.stripe.com/security,20,10,25,25,80,None,True,True,verified,107,200,EC-secp256r1,256,observed,observed
241,cpanel.net,Web Hosting Control Panel & Server Management Tools | cPanel,0,0,0,0,observed,https://www.cpanel.net/;https://docs.cpanel.net/release-notes/release-notes/,,15,10,0,25,50,None,False,False,verified,384,398,RSA,2048,observed,observed
258,hubspot.com,HubSpot | Software & Tools for your Business - Homepage,0,1,0,1,observed,https://www.hubspot.com/;https://legal.hubspot.com/security;https://trust.hubspot.com/,https://legal.hubspot.com/security,20,5,23,25,73,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
260,hcaptcha.com,hCaptcha: Real-Time Bot Detection & Fraud Prevention,1,1,0,2,observed,https://www.hcaptcha.com/;https://www.hcaptcha.com/account-defense;https://www.hcaptcha.com/certifications;https://www.hcaptcha.com/privacy,https://www.hcaptcha.com/,20,10,20,25,75,None,True,True,verified,90,200,EC-secp256r1,256,observed,observed
287,appsflyer.com,AppsFlyer | Modern Marketing Cloud,0,0,0,0,observed,https://www.appsflyer.com:443/;https://www.appsflyer.com:443/security;https://www.appsflyer.com:443/trust;https://www.appsflyer.com/products/enterprise-grade-security,,20,5,5,25,55,None,True,False,verified,393,398,RSA,2048,observed,observed
299,salesforce.com,Salesforce: The #1 Agentic AI CRM,0,0,0,0,observed,https://www.salesforce.com/;https://security.salesforce.com/;https://trust.salesforce.com/;https://trust.salesforce.com/;https://security.salesforce.com/;https://compliance.salesforce.com/en,,18,5,15,25,63,None,True,False,verified,198,200,EC-secp256r1,256,observed,observed
313,alibaba.com,"Alibaba.com: Manufacturers, Suppliers, Exporters & Importers from the world's largest online B2B mar",0,0,0,0,observed,https://www.alibaba.com/;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm;https://error.alibaba.com/error404.htm,,18,5,10,25,58,None,True,False,verified,198,200,EC-secp256r1,256,observed,observed
327,datadoghq.com,Cloud Monitoring as a Service | Datadog,0,0,0,0,observed,https://www.datadoghq.com/;https://www.datadoghq.com/trust/;https://www.datadoghq.com/trust/;https://www.datadoghq.com/compliance/;https://www.datadoghq.com/product/audit-trail/;https://www.datadoghq.com/products/security/;https://www.datadoghq.com/product/code-security/;https://www.datadoghq.com/product/iac-security/,,20,5,25,25,75,None,True,True,verified,198,200,RSA,2048,observed,observed
